Sum_PASSENGERS,AIRLINE_ID,CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,ORIGIN_COUNTRY,ORIGIN_COUNTRY_NAME,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,DEST_COUNTRY,DEST_COUNTRY_NAME,YEAR,MONTH
1,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSY,"New Orleans, LA",LA,Louisiana,US,United States,2002,2
1,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,PHX,"Phoenix, AZ",AZ,Arizona,US,United States,2000,10
27,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,PHX,"Phoenix, AZ",AZ,Arizona,US,United States,2000,11
19,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,PHX,"Phoenix, AZ",AZ,Arizona,US,United States,2000,12
23,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,PHX,"Phoenix, AZ",AZ,Arizona,US,United States,2001,1
9,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,PHX,"Phoenix, AZ",AZ,Arizona,US,United States,2001,2
18,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,PHX,"Phoenix, AZ",AZ,Arizona,US,United States,2001,3
134,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,SEA,"Seattle, WA",WA,Washington,US,United States,2006,10
131,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,SEA,"Seattle, WA",WA,Washington,US,United States,2006,11
202,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,SEA,"Seattle, WA",WA,Washington,US,United States,2006,12
203,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,SEA,"Seattle, WA",WA,Washington,US,United States,2007,1
170,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,SEA,"Seattle, WA",WA,Washington,US,United States,2007,2
146,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,SEA,"Seattle, WA",WA,Washington,US,United States,2007,3
121,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,SEA,"Seattle, WA",WA,Washington,US,United States,2007,4
79,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,SEA,"Seattle, WA",WA,Washington,US,United States,2007,5
119,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,SEA,"Seattle, WA",WA,Washington,US,United States,2007,6
104,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,SEA,"Seattle, WA",WA,Washington,US,United States,2007,7
201,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,SEA,"Seattle, WA",WA,Washington,US,United States,2007,8
170,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,SEA,"Seattle, WA",WA,Washington,US,United States,2007,9
120,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,SEA,"Seattle, WA",WA,Washington,US,United States,2007,10
113,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,SEA,"Seattle, WA",WA,Washington,US,United States,2007,11
